molecule_chembl_id,canonical_smiles,standard_value
CHEMBL155567,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2)cc1Cl,7.0
CHEMBL153795,Cc1ccccc1Cc1ccc(Nc2ccc(F)cc2N)cc1Cl,100000.0
CHEMBL153265,Cc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,12.0
CHEMBL357732,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1,29.0
CHEMBL356157,Cc1cc(C(=O)c2ccccc2C)ccc1Nc1ccccc1N,143.0
CHEMBL152208,Cc1cc(F)ccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,4.0
CHEMBL347496,Cc1ccccc1C(=O)c1ccc(Nc2ccc(Br)cc2N)cc1Cl,39.0
CHEMBL279416,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccncc2)cc1,38.0
CHEMBL356809,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2-c2ccccc2)cc1,811.0
CHEMBL152767,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1Cl,10.0
CHEMBL119385,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,29.0
CHEMBL152349,O=C(c1ccccc1)c1ccc(Nc2ccccc2)cc1,193.0
CHEMBL347770,Cc1ccccc1C(=O)c1ccc(N(C)c2ccccc2N)cc1Cl,101.0
CHEMBL422510,CC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,63.0
CHEMBL152440,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2Br)cc1,54.0
CHEMBL152820,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1C,13.0
CHEMBL155508,CCNC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,21.0
CHEMBL153012,CCOC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,42.0
CHEMBL155448,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2)c(Cl)c1,139.0
CHEMBL142682,Nc1ncnc2c1cc(-c1ccncc1)n2-c1ccc(F)cc1,3300.0
CHEMBL358548,COn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,68.0
CHEMBL342503,CCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,24.0
CHEMBL141999,Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCOCC3)c3cccnc23)cc1,185.0
CHEMBL143389,Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCCC3)c3cccnc23)cc1,217.0
CHEMBL358718,Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCCCC3)c3cccnc23)cc1,1970.0
CHEMBL142753,OCCCCNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,5.0
CHEMBL343873,Fc1ccc(-c2c(-c3ccncc3)[nH]c3ccncc23)cc1,3100.0
CHEMBL356355,OCCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,172.0
CHEMBL336002,Cn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,98.0
CHEMBL142381,Fc1ccc(-c2c(-c3ccncc3)[nH]c3cncnc23)cc1,895.0
CHEMBL142425,C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,1.0
CHEMBL143476,OCCNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,3.0
CHEMBL143307,Fc1ccc(-c2c(-c3ccncc3)[nH]c3nccnc23)cc1,53.0
CHEMBL358537,C[C@@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,1.0
CHEMBL313417,Fc1ccc(-c2nc3n(c2-c2ccncc2)CCS3)cc1,400.0
CHEMBL343481,O=C(O)Cn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,23600.0
CHEMBL344955,Fc1ccc(-c2c(-c3ccncc3)[nH]c3cccnc23)cc1,6.5
CHEMBL142523,Fc1ccc(-c2c(-c3ccncc3)oc3cccnc23)cc1,86.0
CHEMBL356756,COCCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,21.0
CHEMBL345095,Fc1ccc(-c2c(-c3ccncc3)[nH]c3ccccc23)cc1,1800.0
CHEMBL142367,CCC(O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,3.0
CHEMBL302379,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)no1,58.0
CHEMBL63101,CCCCc1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,1100.0
CHEMBL291413,O=C(Nc1cc(C2CCC2)no1)Nc1cccc(Cl)c1Cl,370.0
CHEMBL62008,CC(C)(C)Cc1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,120.0
CHEMBL64510,CC(C)(C)c1ccc(NC(=O)Nc2cccc(Cl)c2Cl)s1,120.0
CHEMBL304936,CCC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,120.0
CHEMBL64644,Cc1c(C(C)C)noc1NC(=O)Nc1cccc(Cl)c1Cl,920.0
CHEMBL61510,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)on1,260.0
CHEMBL61628,CC(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,290.0
CHEMBL292482,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,36.0
CHEMBL64075,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)cs1,160.0
CHEMBL62946,CC(C)(C)c1cc(NC(=O)Nc2ccc(C(F)(F)F)cc2)on1,200.0
CHEMBL59652,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)cc2)no1,190.0
CHEMBL62794,Cc1cc(F)ccc1-c1cc(N(C(N)=O)c2c(Cl)cccc2Cl)ccc1CO,2.0
CHEMBL62665,CC(C)(C)c1cc(NC(=O)Nc2cc(Br)cc(Br)c2)no1,710.0
CHEMBL62788,NC(=O)c1ccccc1NC(=O)Nc1ccc(Cl)c(Cl)c1,100.0
CHEMBL65671,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)c(Cl)c2)on1,220.0
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,20.0
CHEMBL41653,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl,53.0
CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,10000.0
CHEMBL290971,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Sc2ccc(O)cc2)cc1,35.0
CHEMBL416425,CC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,70.0
CHEMBL39251,Cc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,160.0
CHEMBL41723,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Sc2ccncc2)cc1,13.0
CHEMBL37353,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(SCc2ccncc2)cc1,140.0
CHEMBL289357,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Nc2ccncc2)cc1,420.0
CHEMBL41970,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccccc2)cc1,270.0
CHEMBL415679,CC(C)CC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,37.0
CHEMBL289056,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccc(C(C)(C)C)cc2)cc1,183.0
CHEMBL41266,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccc(N)cc2)cc1,310.0
CHEMBL288812,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccncc2)cc1,42.0
CHEMBL288663,CC(C)OC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,54.0
CHEMBL38084,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccc(OCc3ccccc3)cc2)cc1,110.0
CHEMBL289155,CC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,235.0
CHEMBL38548,CCCCOc1ccc(Sc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,69.0
CHEMBL288889,CCC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,69.0
CHEMBL40020,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccc(NC(=O)CCC(=O)O)cc2)cc1,200.0
CHEMBL40138,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(CSc2ccncc2)cc1,44.0
CHEMBL39931,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccc(N)cc2)cc1,290.0
