molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL152440,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2Br)cc1,54.0,active
CHEMBL152820,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1C,13.0,active
CHEMBL155508,CCNC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,21.0,active
CHEMBL153012,CCOC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,42.0,active
CHEMBL155448,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2)c(Cl)c1,139.0,active
CHEMBL142682,Nc1ncnc2c1cc(-c1ccncc1)n2-c1ccc(F)cc1,3300.0,intermediate
CHEMBL358548,COn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,68.0,active
CHEMBL342503,CCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,24.0,active
CHEMBL141999,Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCOCC3)c3cccnc23)cc1,185.0,active
CHEMBL143389,Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCCC3)c3cccnc23)cc1,217.0,active
CHEMBL358718,Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCCCC3)c3cccnc23)cc1,1970.0,intermediate
CHEMBL142753,OCCCCNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,5.0,active
CHEMBL343873,Fc1ccc(-c2c(-c3ccncc3)[nH]c3ccncc23)cc1,3100.0,intermediate
CHEMBL356355,OCCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,172.0,active
CHEMBL336002,Cn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,98.0,active
CHEMBL142381,Fc1ccc(-c2c(-c3ccncc3)[nH]c3cncnc23)cc1,895.0,active
CHEMBL142425,C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,1.0,active
CHEMBL143476,OCCNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,3.0,active
CHEMBL143307,Fc1ccc(-c2c(-c3ccncc3)[nH]c3nccnc23)cc1,53.0,active
CHEMBL358537,C[C@@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,1.0,active
CHEMBL313417,Fc1ccc(-c2nc3n(c2-c2ccncc2)CCS3)cc1,400.0,active
CHEMBL343481,O=C(O)Cn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,23600.0,inactive
CHEMBL344955,Fc1ccc(-c2c(-c3ccncc3)[nH]c3cccnc23)cc1,6.5,active
CHEMBL142523,Fc1ccc(-c2c(-c3ccncc3)oc3cccnc23)cc1,86.0,active
CHEMBL356756,COCCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,21.0,active
CHEMBL345095,Fc1ccc(-c2c(-c3ccncc3)[nH]c3ccccc23)cc1,1800.0,intermediate
CHEMBL142367,CCC(O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,3.0,active
CHEMBL302379,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)no1,58.0,active
CHEMBL63101,CCCCc1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,1100.0,intermediate
CHEMBL291413,O=C(Nc1cc(C2CCC2)no1)Nc1cccc(Cl)c1Cl,370.0,active
CHEMBL62008,CC(C)(C)Cc1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,120.0,active
CHEMBL64510,CC(C)(C)c1ccc(NC(=O)Nc2cccc(Cl)c2Cl)s1,120.0,active
CHEMBL304936,CCC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,120.0,active
CHEMBL64644,Cc1c(C(C)C)noc1NC(=O)Nc1cccc(Cl)c1Cl,920.0,active
CHEMBL61510,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)on1,260.0,active
CHEMBL61628,CC(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,290.0,active
CHEMBL292482,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,36.0,active
CHEMBL64075,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)cs1,160.0,active
CHEMBL62946,CC(C)(C)c1cc(NC(=O)Nc2ccc(C(F)(F)F)cc2)on1,200.0,active
CHEMBL59652,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)cc2)no1,190.0,active
CHEMBL62794,Cc1cc(F)ccc1-c1cc(N(C(N)=O)c2c(Cl)cccc2Cl)ccc1CO,2.0,active
CHEMBL62665,CC(C)(C)c1cc(NC(=O)Nc2cc(Br)cc(Br)c2)no1,710.0,active
CHEMBL62788,NC(=O)c1ccccc1NC(=O)Nc1ccc(Cl)c(Cl)c1,100.0,active
CHEMBL65671,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)c(Cl)c2)on1,220.0,active
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,20.0,active
CHEMBL41653,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl,53.0,active
CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,10000.0,inactive
CHEMBL290971,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Sc2ccc(O)cc2)cc1,35.0,active
CHEMBL416425,CC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,70.0,active
CHEMBL39251,Cc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,160.0,active
CHEMBL41723,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Sc2ccncc2)cc1,13.0,active
CHEMBL37353,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(SCc2ccncc2)cc1,140.0,active
