,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
115,CHEMBL357732,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1,active,302.37700000000007,4.551820000000003,2.0,3.0,7.5376020021010435
116,CHEMBL356157,Cc1cc(C(=O)c2ccccc2C)ccc1Nc1ccccc1N,active,316.40400000000005,4.860240000000004,2.0,3.0,6.844663962534939
117,CHEMBL152208,Cc1cc(F)ccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,active,353.82400000000007,6.070540000000004,1.0,2.0,8.397940008672037
118,CHEMBL347496,Cc1ccccc1C(=O)c1ccc(Nc2ccc(Br)cc2N)cc1Cl,active,415.7180000000001,5.967720000000003,2.0,3.0,7.4089353929735005
119,CHEMBL279416,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccncc2)cc1,active,322.387,3.6757000000000017,1.0,4.0,7.42021640338319
120,CHEMBL356809,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2-c2ccccc2)cc1,active,364.4480000000001,5.910400000000004,2.0,3.0,6.090979145788844
121,CHEMBL152767,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1Cl,active,336.8220000000001,5.205220000000003,2.0,3.0,8.0
122,CHEMBL119385,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,active,436.2700000000001,5.492700000000003,0.0,5.0,7.5376020021010435
123,CHEMBL152349,O=C(c1ccccc1)c1ccc(Nc2ccccc2)cc1,active,273.33500000000004,4.661200000000003,1.0,2.0,6.714442690992226
124,CHEMBL347770,Cc1ccccc1C(=O)c1ccc(N(C)c2ccccc2N)cc1Cl,active,350.84900000000005,5.2295200000000035,1.0,3.0,6.995678626217358
125,CHEMBL422510,CC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,active,378.85900000000004,5.581420000000003,2.0,3.0,7.200659450546418
