"","pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC4","SubFPC16","SubFPC18","SubFPC19","SubFPC23","SubFPC28","SubFPC49","SubFPC96","SubFPC100","SubFPC135","SubFPC137","SubFPC143","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC181","SubFPC182","SubFPC183","SubFPC274","SubFPC280","SubFPC294","SubFPC295","SubFPC301","SubFPC302"
"121",6.09097914578884,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,24,0,0,4,3,4
"122",8,1,0,0,0,0,0,0,0,1,1,0,0,1,5,0,1,0,0,0,0,0,0,18,0,0,4,4,4
"123",7.53760200210104,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,2,2,0,0,0,0,0,12,0,0,8,6,2
"124",6.71444269099223,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0,3,2,4
"125",6.99567862621736,1,0,0,0,0,0,0,1,1,1,0,0,1,5,0,1,0,0,0,0,0,0,18,0,0,5,3,4
"126",7.20065945054642,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,18,0,0,4,3,4
"127",7.26760624017703,2,0,0,0,0,0,0,0,0,1,0,1,1,5,0,1,0,0,0,0,0,0,18,0,0,6,6,6
"128",7.88605664769316,2,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,18,0,0,4,5,4
"129",7.67778070526608,2,0,0,0,0,0,0,0,0,1,0,0,1,5,1,1,0,0,0,0,0,0,18,0,0,8,8,8
"130",7.3767507096021,2,0,0,0,0,0,0,0,0,1,0,0,1,5,1,1,0,0,0,0,0,0,18,0,0,8,7,8
"131",6.85698519974591,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,1,0,0,0,0,0,0,18,0,0,4,3,4
"132",5.48148606012211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,21,0,0,10,1,0
"133",7.16749108729376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,21,0,0,7,1,1
"134",7.61978875828839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,21,0,0,7,2,1
"135",6.73282827159699,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,21,0,0,12,9,3
"136",6.66354026615147,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,21,0,0,10,8,3
"137",5.70553377383841,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,21,0,0,9,8,5
