,hv,std.error,Label,,,,,,,,,,
255,0.001747155,-1.122315886,Internal,,,,,,,,,,
256,0.000993497,-0.607474704,Internal,,,,,,,,,,
257,0.001193418,1.712162852,Internal,,,,,,,,,,
258,0.000542125,0.756557678,Internal,,,,,,,,,,
259,0.003522583,2.964136731,Internal,,,,,,,,,,
260,0.001041453,-1.463923448,Internal,,,,,,,,,,
261,0.000570245,0.701109055,Internal,,,,,,,,,,
262,0.000769232,-0.466476833,Internal,,,,,,,,,,
263,0.00048235,0.692533538,Internal,,,,,,,,,,
264,0.001935662,1.6429409,Internal,,,,,,,,,,
265,0.000944444,0.434451884,Internal,,,,,,,,,,
266,0.001041453,-0.651320646,Internal,,,,,,,,,,
267,0.001187329,2.117885313,Internal,,,,,,,,,,
268,0.000648793,0.412131264,Internal,,,,,,,,,,
269,0.000513733,-3.710809267,Internal,,,,,,,,,,
270,0.000457629,-0.172514736,Internal,,,,,,,,,,
271,0.001337254,-0.282948334,Internal,,,,,,,,,,
272,0.001567577,1.405205584,Internal,,,,,,,,,,
273,0.000464629,0.22848839,Internal,,,,,,,,,,
274,0.001211328,0.972409533,Internal,,,,,,,,,,
275,0.004161268,0.543551919,Internal,,,,,,,,,,
276,0.000523264,0.2453266,Internal,,,,,,,,,,
277,0.00134788,-0.052808496,Internal,,,,,,,,,,
278,0.001382651,-0.38805174,Internal,,,,,,,,,,
279,0.000769232,-0.248806802,Internal,,,,,,,,,,
280,0.00109898,-0.454247042,Internal,,,,,,,,,,
281,0.000507486,-0.123633633,Internal,,,,,,,,,,
282,0.000521484,1.585539278,Internal,,,,,,,,,,
283,0.001706322,0.49938377,Internal,,,,,,,,,,
284,0.000481441,0.124511441,Internal,,,,,,,,,,
285,0.000494586,-0.160104966,Internal,,,,,,,,,,
286,0.00045858,0.044562678,Internal,,,,,,,,,,
287,0.004161268,1.171174469,Internal,,,,,,,,,,
288,0.000523264,0.2453266,Internal,,,,,,,,,,
289,0.002826439,-0.882202076,Internal,,,,,,,,,,
290,0.000473627,0.421210315,Internal,,,,,,,,,,
291,0.000651527,-0.137934197,Internal,,,,,,,,,,
